,all,new_cnpq_level_1a,new_cnpq_level_2a,new_cnpq_level_3a,predicted_new_cnpq_level_1a,predicted_new_cnpq_level_2a,predicted_new_cnpq_level_3a
84,"The impact of large-scale deployment of Wolbachia mosquitoes on dengue and other Aedes-borne diseases in Rio de Janeiro and Niterói, Brazil: Study protocol for a controlled interrupted time series analysis using routine disease surveillance data Background: Rio de Janeiro and Niterói are neighbouring cities in southeastern Brazil which experience large dengue epidemics every 2 to 5 years, with >100,000 cases notified in epidemic years. Costs of vector control and direct and indirect costs due to the Aedes-borne diseases dengue, chikungunya and Zika were estimated to total 650 million USD in 2016, but traditional vector control strategies have not been effective in preventing mosquito-borne disease outbreaks. The Wolbachia method is a novel and self-sustaining approach for the biological control of Aedes-borne diseases, in which the transmission potential of Aedes aegypti mosquitoes is reduced by stably transfecting them with the Wolbachia bacterium ( wMel strain). This paper describes a study protocol for evaluating the effect of large-scale non-randomised releases of Wolbachia-infected mosquitoes on the incidence of dengue, Zika and chikungunya in the two cities of Niterói and Rio de Janeiro. This follows a lead-in period since 2014 involving intensive community engagement, regulatory and public approval, entomological surveys, and small-scale pilot releases. Method: The Wolbachia releases during 2017-2019 covered a combined area of 170 km 2 with a resident population of 1.2 million, across Niterói and Rio de Janeiro. Untreated areas with comparable historical dengue profiles and demographic characteristics have been identified a priori as comparative control areas in each city. The proposed pragmatic epidemiological approach combines a controlled interrupted time series analysis of routinely notified suspected and laboratory-confirmed dengue and chikungunya cases, together with monitoring of Aedes-borne disease activity utilising outbreak signals routinely used in public health disease surveillance. Discussion: If the current project is successful, this model for control of mosquito-borne disease through Wolbachia releases can be expanded nationally and regionally. © 2020 Durovni B et al. Brazil, Chikungunya, Controlled interrupted time series, Dengue, Disease surveillance, Vector-borne disease, Wolbachia, Zika F1000research",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências da Saúde,Saúde Coletiva,Epidemiologia
85,"Synthesis and antitubercular activity of novel Schiff bases derived from D-mannitol Six Schiff base derivatives of D-mannitol, 1,6-dideoxy-1,6-bis-[(E)-arylmethylidene]amino-D-mannitol (6: aryl = XC6H4: X = o-, m- and p- Cl or NO2), have been synthesized and evaluated for their in vitro antibacterial activity against Mycobacterium tuberculosis H(37)Rv using the Alamar Blue susceptibility test and the activity expressed as the minimum inhibitory concentration (MIC) in mu g/mL All three nitro derivatives exhibit significant activities: activities of (6d: X = o-NO2), (6e: X = m-NO2) and (6f: X = p-NO2) are 12.5, 25.0 and 25.0 mu g/mL, respectively. When compared with first line drugs, such as ethambutol, they can be considered as a good starting point to develop new lead compounds for the treatment of multidrug-resistant tuberculosis. Characterization of the new compounds 6 is generally achieved spectroscopically. The structure of compound 3 has been confirmed by X-ray crystallography. (C) 2009 Elsevier Ltd. All rights reserved. D-Mannitol,Schiff bases,Antitubercular activity CARBOHYDRATE RESEARCH",Ciências da Saúde,Farmácia,,Ciências da Saúde,Farmácia,Análise e Controle e Medicamentos
86,"Platelet Activating Factor (PAF) Receptor Deletion or Antagonism Attenuates Severe HSV-1 Meningoencephalitis Herpes simplex virus type 1 (HSV-1) is a human pathogen that may cause severe encephalitis. The exacerbated immune response against the virus contributes to the disease severity and death. Platelet activating factor (PAF) is a mediator capable of inducing increase in vascular permeability, production of cytokines on endothelial cells and leukocytes. We aimed to investigate the activation of PAF receptor (PAFR) and its contribution to the severity of the inflammatory response in the brain following HSV-1 infection. C57BL/6 wild-type (WT) and PAFR deficient (PAFR(-/-)) mice were inoculated intracranially with 10(4) plaque-forming units (PFU) of HSV-1. Visualization of leukocyte recruitment was performed using intravital microscopy. Cells infiltration in the brain tissue were analyzed by flow cytometry. Brain was removed for chemokine assessment by ELISA and for histopathological analysis. The pharmacological inhibition by the PAFR antagonist UK-74,505 was also analyzed. In PAFR(-/-) mice, there was delayed lethality but no difference in viral load. Histopathological analysis of infected PAFR(-/-) mice showed that brain lesions were less severe when compared to their WT counterparts. Moreover, PAFR(-/-) mice showed less TCD4(+), TCD8(+) and macrophages in brain tissue. This reduction of the presence of leukocytes in parenchyma may be mechanistically explained by a decrease in leukocytes rolling and adhesion. PAFR(-/-) mice also presented a reduction of the chemokine CXCL9 in the brain. In addition, by antagonizing PAFR, survival of C57BL/6 infected mice increased. Altogether, our data suggest that PAFR plays a role in the pathogenesis of experimental HSV-1 meningoencephalitis, and its blockade prevents severe disease manifestation; Herpes simplex virus type 1 (HSV-1) is a human pathogen that may cause severe encephalitis. The exacerbated immune response against the virus contributes to the disease severity and death. Platelet activating factor (PAF) is a mediator capable of inducing increase in vascular permeability, production of cytokines on endothelial cells and leukocytes. We aimed to investigate the activation of PAF receptor (PAFR) and its contribution to the severity of the inflammatory response in the brain following HSV-1 infection. C57BL/6 wild-type (WT) and PAFR deficient (PAFR(-/-)) mice were inoculated intracranially with 10(4) plaque-forming units (PFU) of HSV-1. Visualization of leukocyte recruitment was performed using intravital microscopy. Cells infiltration in the brain tissue were analyzed by flow cytometry. Brain was removed for chemokine assessment by ELISA and for histopathological analysis. The pharmacological inhibition by the PAFR antagonist UK-74,505 was also analyzed. In PAFR(-/-) mice, there was delayed lethality but no difference in viral load. Histopathological analysis of infected PAFR(-/-) mice showed that brain lesions were less severe when compared to their WT counterparts. Moreover, PAFR(-/-) mice showed less TCD4(+), TCD8(+) and macrophages in brain tissue. This reduction of the presence of leukocytes in parenchyma may be mechanistically explained by a decrease in leukocytes rolling and adhesion. PAFR(-/-) mice also presented a reduction of the chemokine CXCL9 in the brain. In addition, by antagonizing PAFR, survival of C57BL/6 infected mice increased. Altogether, our data suggest that PAFR plays a role in the pathogenesis of experimental HSV-1 meningoencephalitis, and its blockade prevents severe disease manifestation. HERPES SIMPLEX VIRUS-1ENCEPHALITISPAFRCHEMOKINES; Herpes simplex virus-1,Encephalitis,PAFR,PAFR antagonist 'UK-74,505',Chemokines JOURNAL OF NEUROIMMUNE PHARMACOLOGY",Ciências Biológicas,Microbiologia,Biologia e Fisiologia dos Microorganismos,Ciências Biológicas,Imunologia,Imunogenética
87,"Natural Plasmodium infection in monkeys in the state of Rondonia (Brazilian Western Amazon) Background: Simian malaria is still an open question concerning the species of Plasmodium parasites and species of New World monkeys susceptible to the parasites. In addition, the lingering question as to whether these animals are reservoirs for human malaria might become important especially in a scenario of eradication of the disease. To aid in the answers to these questions, monkeys were surveyed for malaria parasite natural infection in the Amazonian state of Rondonia, Brazil, a state with intense environmental alterations due to human activities, which facilitated sampling of the animals. Methods: Parasites were detected and identified in DNA from blood of monkeys, by PCR with primers for the 18S rRNA, CSP and MSP1 genes and sequencing of the amplified fragments. Multiplex PCR primers for the 18S rRNA genes were designed for the parasite species Plasmodium falciparum and Plasmodium vivax, Plasmodium malariae/Plasmodium brasilianum and Plasmodium simium. Results: An overall infection rate of 10.9% was observed or 20 out 184 monkey specimens surveyed, mostly by P. brasilianum. However, four specimens of monkeys were found infected with P. falciparum, two of them doubly infected with P. brasilianum and P. falciparum. In addition, a species of monkey of the family Aotidae, Aotus nigriceps, is firstly reported here naturally infected with P. brasilianum. None of the monkeys surveyed was found infected with P. simium/P. vivax. Conclusion: The rate of natural Plasmodium infection in monkeys in the Brazilian state of Rondonia is in line with previous surveys of simian malaria in the Amazon region. The fact that a monkey species was found that had not previously been described to harbour malaria parasites indicates that the list of monkey species susceptible to Plasmodium infection is yet to be completed. Furthermore, finding monkeys in the region infected with P. falciparum clearly indicates parasite transfer from humans to the animals. Whether this parasite can be transferred back to humans and how persistent the parasite is in monkeys in the wild so to be efficient reservoirs of the disease, is yet to be evaluated. Finding different species of monkeys infected with this parasite species suggests indeed that these animals can act as reservoirs of human malaria. Simian malaria,New World monkeys,Plasmodium,Amazonian forest,18S rRNA Malaria Journal",Ciências Biológicas,Parasitologia,Entomologia e Malacologia de Parasitos e Vetores,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
88,"Teaching Women to Be Mothers: Medicine, Maternalism, and the Women's Press in Brazil (1910-1930) Analyzes the actions of assistance to maternity and childhood implemented in Brazil, considering mother and child, two ""new"" social subjects, as a priority object of social concern and intervention by the State, which preceded their institutionalization. It conceives the constitution of this type of assistance in Brazil as, among other dimensions, one of the derivations of the hygienist agenda and the result of the conformation, diffusion, and incorporation of the maternalist ideology and the principles of scientific motherhood - understood as the exercise of motherhood based on scientific foundations, object of its own educational practices, and supervised by doctors. Although primarily expressed by doctors, the discourse of scientific motherhood found an echo in the republican nationalist project - in particular, the convergence of identities between health, education and nation - and in the demands of maternalist feminist movements, consolidating, especially in the 1910s and 1920s, a set of ideas about motherhood and childhood that became the main source of inspiration for public policies implemented from 1930 onwards. She chooses as priority sources of research on the process of construction of the materialist discourse three magazines that circulated in the main urban centres of the period: Vida Domestica 1920-1963, Revista Femenina 1914-1936 and Infancia 1935-1938 [AU] Saúde Pública/história,Feminismo/história,Política de Saúde,Política Pública,Cuidado da Criança/história,Comportamento Maternal, Hygiene/history, Brazil, Periodical Publication/history",Ciências Humanas,História,,Ciências Humanas,História,História das Ciências
89,"Reproducibility on science: Challenges and advances in Brazilian alcohol surveys Background: Reproducibility in Science is challenging and may be hard to achieve in alcohol research. Previous general population surveys in Brazil have estimated the prevalence of alcohol dependence to be around 10%. We aim to estimate alcohol use and dependence using different methods and definitions. Methods: The 3rd Brazilian Household Survey on Substance Use (BHSU-3) was a nationwide, probability sample survey that interviewed 16,273 individuals. DSM-IV-TR criteria were used to determine alcohol dependence. In the BHSU-2 (covering only Brazil's 108 largest municipalities), alcohol dependence was defined as fulfilling 2/6 DSM-III criteria. Using the BHSU-3 data, alcohol use was estimated at: [1] the national level, [2] BHSU-2 municipalities, taking into consideration the sample design, and [3] BHSU-2 municipalities, ignoring the sample design. Alcohol dependence was calculated using: BHSU-3 and BHSU-2 definitions, two denominators ([A] population and [B] 12-month drinkers), and [1], [2], [3]. Results: Lifetime alcohol use ranged from 66.4% (95%CI:64.8-68.0 [1]) to 70.1% ([95%CI:69.1-71.0], [3]). The estimated population presenting with alcohol dependence ranged from N = 2.3 million (BHSU-3 definition, [1]) to N = 4.3 million (BHSU-2 definition, [1]). In the first case, the prevalence among the general population [A] and drinkers [B] was 1.5% (95%CI:1.2-1.8) and 3.5% (95%CI:2.8-4.2), respectively. In second case, prevalence was 2.8% (95%CI:2.4-3.3, [A]) and 6.6% (95%CI:5.6-7.6, [B]). Conclusions: Prevalence of alcohol dependence may vary as much as 4.3 times, analyzing the same dataset in different ways. Brazilian research on alcohol is funded by governmental research and policy-making agencies, providing subsidies for alcohol policy in the country. It is crucial that sufficient methodological information is provided in order to guarantee reproducibility and consistency over time. Alcohol use,Alcohol dependence,Health surveys,Reproducibility of findings,Brazil International Journal of Drug Policy",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Saúde Coletiva,Epidemiologia
90,"The Influence of Environmental Cues on the Development of Trypanosoma cruzi in Triatominae Vector Trypanosoma cruzi, a hemoflagellate parasite, is the etiological agent of Chagas disease that affects about 6-7 million people worldwide, mostly in Latin America. The parasite life cycle is complex and alternates between an invertebrate host-Triatominae vector-and a mammalian host. The parasite adaptation to the several microenvironments through which it transits is critical to success in establishing infection. Moreover, environmental cues also play an important role on the parasite development, and it can modulate the infection. In the present study, we discussed how the temperature oscillations and the nutritional state of the invertebrate host can affect the parasite development, multiplication, and the differentiation process of epimastigote forms into metacyclic trypomastigotes, called metacyclogenesis. The impact of oxidative imbalance and osmotic stresses on the parasite-vector relationship are also discussed. TRYPANOSOMA CRUZITRIATOMINAETEMPERATURENUTRITIONAL STATEOXIDATIVE IMBALANCEOSMOTIC STRESSHOST-PARASITE INTERACTION; Trypanosoma cruzi,Triatominae,temperature,nutritional state,oxidative imbalance,osmotic stress,host-parasite interaction FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY",Ciências Biológicas,Parasitologia,Entomologia e Malacologia de Parasitos e Vetores,Ciências Biológicas,Parasitologia,Protozoologia de Parasitos
91,"The effect of dietary fibers on the absorption of oral hypoglycemic drugs: a systematic review of controlled trials Purpose: Dietary fibers and hypoglycemic drugs can be used concomitantly in the treatment of diabetes mellitus. We aimed to perform this review in order to evaluate whether scientific evidence is available regarding the interaction between these components and whether these interactions alter drug absorption. Methods: We conducted a search of the literature for controlled clinical trials that evaluated the occurrence and clinical relevance of interactions between dietary fibers and hypoglycemic drugs. Six databases were searched from inception to April 20, 2020 and trials were eligible for inclusion if they measured changes in drug absorption parameters. Results: In three studies, there were interactions between dietary fibers and hypoglycemic drugs, causing alterations in drug absorption. The other two studies had no significant changes in absorption pharmacokinetic parameters. Conclusions: The physicochemical characteristics of the dietary fiber used, the chemical structure of the drug, and the pharmaceutical form administered are determining factors for the occurrence of alterations in drug absorption. © 2022, The Author(s), under exclusive licence to Research Society for Study of Diabetes in India. Absorption, Diabetes mellitus, Dietary fiber, Drug-food interactions, Hypoglycemic agents International Journal of Diabetes in Developing Countries",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Nutrição,Dietética
92,"COX-2 rs20417 Polymorphism Is Associated with Stroke and White Matter Disease Background: To investigate the effect of COX-2 polymorphism and its product, prostaglandin E2 (PGE2), on stroke risk in an endemic area for Chagas disease. In a separate cohort, to investigate the effect of COX-2 polymorphisms on the total burden of cerebral white matter disease. Methods: Cases were outpatients with ischemic stroke; controls were stroke-free subjects from 2 outpatient clinics (heart failure and caregivers of a movement disorders clinic). We extracted DNA from total blood to investigate the rs20417 COX-2 polymorphism. Serologic tests (Enzime-linked immunosorbent assay) were performed to confirm Trypanosoma cruzi infection and to quantify PGE2 levels. In the Boston cohort, white matter hyperintensity volume (WMHv) was quantified on the admission brain magnetic resonance images of subjects with ischemic stroke, who also donated DNA for the COX-2 gene region analysis. Results: We studied 44 patients with stroke and 96 controls (46 with heart failure and 50 caregivers) in the Brazilian cohort; and 788 stroke patients (302 cardioembolic and 486 noncardioembolic) in the Boston cohort. In the Brazilian cohort, rs20417 polymorphism was associated with both stroke (P = 5 x 10(-6)) and decreased PGE2 levels (P = 4 x 10(-5)); similarly, Chagas was associated with stroke (P = 4 x 10(-3)) and decreased PGE2 levels (P = 7 x 10(-3)). In the Boston cohort, rs20417 polymorphism was associated with increased WMHv among noncardioembolic (P = .037), but not among cardioembolic stroke patients. Conclusions: Variation in COX-2 gene is associated with both symptomatic and silent brain cerebrovascular disease. This candidate gene region should be tested in population-based samples. Acute cerebral infarction,genetics of stroke,magnetic resonance imaging,Chagas disease,cyclooxygenase,prostaglandin E2 Journal of Stroke & Cerebrovascular Diseases",Ciências Biológicas,Imunologia,Imunologia Celular,Ciências da Saúde,Medicina,Clínica Médica
93,"Evaluation of the Chagas Disease Control Program and presence of Panstrongylus megistus in central-western Minas Gerais State, Brazil The Brazilian National Chagas Disease Control Program (PCDCh) is currently in the epidemiological surveillance phase and poses one of the principal challenges for maintaining and improving surveillance. With the decentralization of health actions, leading to the transfer of responsibilities over the control of endemic diseases to the State and Municipal governments, some municipalities have faced difficulties in implementing the Program, since they lack experience in controlling this disease. This study analyzes the current situation with epidemiological surveillance of Chagas disease in 54 municipalities ( counties) in central-western Minas Gerais State, with a view towards evaluation and improvement of the process. From July 2003 to July 2007, 776 captures were performed, totaling 1,390 triatomine bugs from 37 municipalities. The most prevalent species was Panstrongylus megistus (99.3% of the specimens captured). A total of 8.3% of the specimens were positive for Trypanosoma cruzi-like flagellates. Distribution of the specimens differed between municipalities, and the article discusses some reasons for these differences. As a whole, the findings strongly suggest the need to improve Chagas disease epidemiological surveillance in the region; The Brazilian National Chagas Disease Control Program (PCDCh) is currently in the epidemiological surveillance phase and poses one of the principal challenges for maintaining and improving surveillance. With the decentralization of health actions, leading to the transfer of responsibilities over the control of endemic diseases to the State and Municipal governments, some municipalities have faced difficulties in implementing the Program, since they lack experience in controlling this disease. This study analyzes the current situation with epidemiological surveillance of Chagas disease in 54 municipalities ( counties) in central-western Minas Gerais State, with a view towards evaluation and improvement of the process. From July 2003 to July 2007, 776 captures were performed, totaling 1,390 triatomine bugs from 37 municipalities. The most prevalent species was Panstrongylus megistus (99.3% of the specimens captured). A total of 8.3% of the specimens were positive for Trypanosoma cruzi-like flagellates. Distribution of the specimens differed between municipalities, and the article discusses some reasons for these differences. As a whole, the findings strongly suggest the need to improve Chagas disease epidemiological surveillance in the region. CHAGAS DISEASECOMMUNICABLE DISEASE CONTROLEPIDEMIOLOGIC SURVEILLANCE; Chagas Disease,Communicable Disease Control,Epidemiologic Surveillance CADERNOS DE SAUDE PUBLICA; Cadernos de Saúde Pública",Ciências Biológicas,Parasitologia,Entomologia e Malacologia de Parasitos e Vetores,Ciências da Saúde,Saúde Coletiva,Epidemiologia
94,"Early serum biomarker networks in infants with distinct retinochoroidal lesion status of congenital toxoplasmosis The present study characterized the early changes in the serum chemokines/cytokine signatures and networks in infants with congenital-toxoplasmosis/(TOXO) as compared to non-infected-controls/(NI). TOXO were subgrouped according to the retinochoroidal lesion status as no-lesion/(NL), active-lesion/(ARL), active/cicatricial-lesion/(ACRL) and cicatricial-lesion/(CRL). The results showed that TOXO display prominent chemokine production mediated by IL-8/CXCL8, MIG/CXCL9, IP-10/CXCL10 and RANTES/CCL5. Additionally, TOXO is accompanied by mixed proinflammatory/regulatory cytokine pattern mediated by IL-6, IFN-γ, IL-4, IL-5 and IL-10. While TNF appears as a putative biomarker for NL and IFN-γ/IL-5 as immunological features for ARL, IL-10 emerges as a relevant mediator in ACRL/CRL. IL-8/CXCL8 and IP-10/CXCL10 are broad-spectrum indicators of ocular disease, whereas TNF is a NL biomarker, IFN-γ and MIG/CXCL9 point out to ARL; and IL-10 is highlighted as a genuine serum biomarker of ACRL/CRL. The network analysis demonstrated a broad chemokine/cytokine crosstalk with divergences in the molecular signatures in patients with different ocular lesions during congenital toxoplasmosis. © 2017; The present study characterized the early changes in the serum chemokines/cytokine signatures and networks in infants with congenital-toxoplasmosis/(TOXO) as compared to non-infected-controls/(NI). TOXO were subgrouped according to the retinochoroidal lesion status as no-lesion/(NL), active-lesion/(ARL), active/cicatricial-lesion/(ACRL) and cicatriciallesion/(CRL). The results showed that TOXO display prominent chemokine production mediated by IL-8/CXCL8, MIG/CXCL9, IP-10/CXCL10 and RANTES/CCL5. Additionally, TOXO is accompanied by mixed proinflammatory/regulatory cytokine pattern mediated by IL-6, IFN-?, IL-4, IL-5 and IL-10. While TNF appears as a putative biomarker for NL and IFN-?/IL-5 as immunological features for ARL, IL-10 emerges as a relevant mediator in ACRL/CRL. IL-8/CXCL8 and IP-10/CXCL10 are broad-spectrum indicators of ocular disease, whereas TNF is a NL biomarker, IFN-? and MIG/CXCL9 point out to ARL; and IL-10 is highlighted as a genuine serum biomarker of ACRL/CRL. The network analysis demonstrated a broad chemokine/cytokine crosstalk with divergences in the molecular signatures in patients with different ocular lesions during congenital toxoplasmosis. CONGENITAL TOXOPLASMOSISRETINOCHOROIDITISINFANTSBIOMARKERS; Biomarkers, Congenital toxoplasmosis, Infants, Retinochoroiditis CYTOKINE",Ciências Biológicas,Parasitologia,Protozoologia de Parasitos,Ciências Biológicas,Imunologia,Imunogenética
95,"Factors associated with the evaluation of quality of primary health care by older adults living in the Metropolitan Region of Belo Horizonte, Minas Gerais, Brazil, 2010; Fatores associados à avaliação da qualidade da atenção primária à saúde por idosos residentes na Região Metropolitana de Belo Horizonte, Minas Gerais, 2010 Objective: to analyze factors associated with the perception of quality of primary health care (PHC) services by older adults. Methods: this was a cross-sectional survey with 893 older adults aged 60 years and over living in the Metropolitan Region of Belo Horizonte, MG, Brazil; the study's outcomes were the indicators of the essential attributes of PHC, while explanatory variables included sociodemographic conditions, use of health services and health conditions; Poisson regression with robust variance was used. Results: older adults aged 80 years and over, women and those with higher education levels gave better evaluations for access and longitudinality, while evaluation was worst among those who reported greater use of health services and chronic health conditions, especially for the PHC attributes of coordination of care and family and community orientation. Conclusion: poorer health conditions and higher use of services are associated with a more negative perception of PHC attributes among the elderly.; Objetivo: analisar os fatores associados à percepção da qualidade dos serviços de atenção primária à saúde (APS) por idosos.Métodos: estudo transversal com 893 idosos de 60 anos ou mais, residentes na Região Metropolitana de Belo Horizonte, MG, Brasil; os desfechos do estudo foram os indicadores dos atributos essenciais da APS, e as variáveis explicativas incluíram condições sociodemográficas, uso de serviços de saúde e condições de saúde; utilizou-se a regressão de Poisson com variância robusta.Resultados: os idosos com 80 anos ou mais, as mulheres e aqueles de maior escolaridade avaliaram melhor o acesso e a longitudinalidade, enquanto a avaliação foi pior entre os que relataram maior uso dos serviços e condições crônicas, sobretudo para os atributos de coordenação do cuidado e orientação familiar e comunitária.Conclusão: piores condições de saúde e maior uso dos serviços estão associados à percepção mais negativa dos atributos da APS entre idosos. ATENÇÃO PRIMÁRIA À SAÚDESAÚDE DO IDOSOFATORES EPIDEMIOLÓGICOSQUALIDADE DA ASSISTÊNCIA À SAÚDEESTUDOS TRANSVERSAISAVALIAÇÃO EM SAÚDE; Primary Health Care,Health of the Elderly,Epidemiologic Factors,Quality of Health Care,Cross-Sectional Studies,Health evaluation EPIDEMIOLOGIA E SERVICOS DE SAUDE; Epidemiologia e Serviços de Saúde",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Saúde Coletiva,Saúde Pública
96,"Toxicological evaluation of Euterpe edulis: A potential superfruit to be considered Superfruits have a high nutritional value due to their richness in nutrients, antioxidants, proven or potential health benefits and taste appeal. However, there are no scientific criteria for defining which fruits are superfruits. In Brazil, several palms have an edible palm heart, the best known and most widely appreciated of which is called Acai (. Euterpe oleracea). Euterpe edulis Mart., commonly called jussara, is an evergreen species that grows in the rainforest. Having initially been consumed in the form of juice and pulp, they have since been incorporated as an ingredient in many foods. A risk assessment to identify adverse health effects is a prerequisite for taking forward the development of new drugs, cosmetics and foods. To make a toxicological evaluation of E. edulis, in the present work this prerequisite was met by an interdisciplinary network that performed mass spectroscopy analyses, blood biochemistry, genotoxicity, bacterial reverse mutation and cytotoxicity assays. Positive mutagenicity results were detected for Salmonella typhimurium TA97 at low doses, and positive results were also obtained for the mammalian erythrocyte micronucleus assay, indicating that the pulp of E. edulis contains compounds with the capacity to induce mutagenicity and clastogenic/aneugenic effects. © 2013 Elsevier Ltd. Euterpe edulis; Food safety; Genotoxicity; Mutagenicity Food and Chemical Toxicology",Ciências da Saúde,Farmácia,Farmacognosia,Ciências Agrárias,Ciência e Tecnologia de Alimentos,Ciência de Alimentos
97,"Management of Intraocular Infections in HIV Purpose: Overview of treatment options for the most common intraocular opportunistic infections in patients with acquired immunodeficiency syndrome (AIDS), including ocular syphilis, ocular tuberculosis, toxoplasmic chorioretinitis, and viral retinitis. Method: Narrative Review. Results: Despite the huge advances in the development of combined antiretroviral therapy (cART) for the management of patients with human immunodeficiency virus (HIV) infection, opportunistic infections still represent a significant diagnostic dilemma and cause of ocular morbidity in patients with HIV. Conclusion: Although the treatment of intraocular infections in patients with AIDS may be challenging, prompt assessment of the clinical features and appropriate aggressive management of the underlying etiology are critical to avoid life and vision threatening. Opportunistic infections,intraocular infections,human immunodeficiency virus (HIV),combined active retroviral therapy (cART),ocular tuberculosis,ocular syphilis,ocular toxoplasmosis,viral retinitis,treatment Ocular Immunology and Inflammation",Ciências da Saúde,Medicina,Clínica Médica,Ciências da Saúde,Medicina,Clínica Médica
98,"SANDFLY FAUNA (DIPTERA: PSYCHODIDAE) IN PARQUE DO SABIA COMPLEX, UBERLANDIA, MINAS GERAIS, BRAZIL Between April 2003 and May 2009 phlebotomine sandflies were collected in Parque do Sabia complex, Uberlandia municipality, Minas Gerais State, Brazil, using CDC and Shannon traps. The objective was to associate the sandfly species captured to the risk of the transmission of leishmaniasis in the municipality. The 126 captured specimens belonging to six species of phlebotomine, among which Lutzomyia (Psychodopygus) davisi (Root, 1934) predominated with 113 specimens (89.7%). The remaining captured species were Lutzomyia (Pintomyia) mamedei Oliveira, Afonso, Dias & Brazil, 1994 - five specimens (3.9%); Lutzomyia (Nyssomyia) flaviscutellata (Mangabeira, 1942) - four specimens (3.2%); Lutzomyia lenti (Mangabeira, 1938) - two specimens (1.6%); Brumptomyia avellari (Costa Lima, 1932) - one specimen (0.8%); and Lutzomyia (Nyssomyia) whitmani (Antunes & Coutinho, 1939) - one specimen (0.8%). The collection of species that may be involved in the transmission of Leishmania reveals the need for continuous entomological surveillance; Between April 2003 and May 2009 phlebotomine sandflies were collected in Parque do Sabia complex, Uberlandia municipality, Minas Gerais State, Brazil, using CDC and Shannon traps. The objective was to associate the sandfly species captured to the risk of the transmission of leishmaniasis in the municipality. The 126 captured specimens belonging to six species of phlebotomine, among which Lutzomyia (Psychodopygus) davisi (Root, 1934) predominated with 113 specimens (89.7%). The remaining captured species were Lutzomyia (Pintomyia) mamedei Oliveira, Afonso, Dias & Brazil, 1994 - five specimens (3.9%); Lutzomyia (Nyssomyia) flaviscutellata (Mangabeira, 1942) - four specimens (3.2%); Lutzomyia lenti (Mangabeira, 1938) - two specimens (1.6%); Brumptomyia avellari (Costa Lima, 1932) - one specimen (0.8%); and Lutzomyia (Nyssomyia) whitmani (Antunes & Coutinho, 1939) - one specimen (0.8%). The collection of species that may be involved in the transmission of Leishmania reveals the need for continuous entomological surveillance. LUTZOMYIAPHLEBOTOMINELEISHMANIASISECOLOGY OF VECTORS; Lutzomyia,Phlebotomine,Leishmaniasis,Ecology of vectors REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO",Ciências Biológicas,Parasitologia,Entomologia e Malacologia de Parasitos e Vetores,Ciências Biológicas,Zoologia,Zoologia Aplicada
99,"Assessing the nationwide impact of COVID-19 mitigation policies on the transmission rate of SARS-CoV-2 in Brazil COVID-19 is now identified in almost all countries in the world, with poorer regions being particularly more disadvantaged to efficiently mitigate the impacts of the pandemic. In the absence of efficient therapeutics or large-scale vaccination, control strategies are currently based on non-pharmaceutical interventions, comprising changes in population behavior and governmental interventions, among which the prohibition of mass gatherings, closure of non-essential establishments, quarantine and movement restrictions. In this work we analyzed the effects of 707 governmental interventions published up to May 22, 2020, and population adherence thereof, on the dynamics of COVID-19 cases across all 27 Brazilian states, with emphasis on state capitals and remaining inland cities. A generalized SEIR (Susceptible, Exposed, Infected and Removed) model with a time-varying transmission rate (TR), that considers transmission by asymptomatic individuals, is presented. We analyze the effect of both the extent of enforced measures across Brazilian states and population movement on the changes in the TR and effective reproduction number. The social mobility reduction index, a measure of population movement, together with the stringency index, adapted to incorporate the degree of restrictions imposed by governmental regulations, were used in conjunction to quantify and compare the effects of varying degrees of policy strictness across Brazilian states. Our results show that population adherence to social distance recommendations plays an important role for the effectiveness of interventions and represents a major challenge to the control of COVID-19 in low-and middle-income countries. Brazil,COVID-19,Mathematical modeling,Non-pharmaceutical interventions,Public policies,Transmission rate Epidemics",Ciências da Saúde,Saúde Coletiva,Epidemiologia,Ciências da Saúde,Saúde Coletiva,Epidemiologia
